               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.022786,           0.0084052,           0.0019302,             0.95183,             0.93002,             0.98618,             0.61028,             0.03012,           0.0056967,          0.00057601,            0.004555,            0.004555,            0.004555
                 112,            0.021926,           0.0087734,           0.0023669,              0.8752,                   1,             0.98327,             0.57107,            0.031352,           0.0060501,          0.00057693,           0.0045055,           0.0045055,           0.0045055
                 113,            0.021627,           0.0081431,           0.0018796,             0.86855,                   1,             0.98077,             0.57328,            0.034039,           0.0063167,          0.00063333,            0.004456,            0.004456,            0.004456
                 114,            0.023407,            0.008929,           0.0018342,             0.90267,             0.94883,             0.97394,             0.58571,            0.032515,           0.0063347,          0.00063794,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021945,           0.0084126,           0.0024673,             0.91898,             0.91667,             0.95652,             0.65114,            0.029403,           0.0060151,          0.00062447,            0.004357,            0.004357,            0.004357
                 116,            0.021496,           0.0084071,           0.0020323,             0.91767,             0.89583,             0.96403,             0.63474,            0.030195,           0.0060297,          0.00058994,           0.0043075,           0.0043075,           0.0043075
                 117,             0.02029,           0.0090702,            0.001776,             0.91585,             0.90356,             0.96708,             0.63521,            0.029763,           0.0060406,          0.00056311,            0.004258,            0.004258,            0.004258
                 118,            0.023108,           0.0082999,           0.0020877,             0.93144,             0.91667,              0.9745,             0.61186,            0.030466,           0.0061443,           0.0005547,           0.0042085,           0.0042085,           0.0042085
                 119,            0.020812,           0.0089551,            0.001697,             0.90856,             0.95833,             0.96118,             0.59323,            0.032038,           0.0062045,          0.00055413,            0.004159,            0.004159,            0.004159
                 120,            0.021774,           0.0084441,           0.0021127,             0.91282,             0.95833,             0.97116,             0.57704,            0.032956,           0.0062928,          0.00053789,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020841,           0.0081285,           0.0018162,             0.90584,             0.95615,             0.97204,             0.51397,            0.036813,           0.0064671,          0.00053104,             0.00406,             0.00406,             0.00406
                 122,            0.020964,           0.0077553,           0.0022267,             0.90781,             0.95833,             0.97671,             0.61443,            0.030297,           0.0060469,          0.00056435,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020545,           0.0081249,           0.0016407,             0.90371,             0.95833,             0.96933,             0.64829,            0.029044,           0.0059149,          0.00059094,            0.003961,            0.003961,            0.003961
                 124,            0.021617,           0.0081504,           0.0020312,              0.8915,             0.95833,             0.96543,              0.6553,            0.027831,           0.0058993,          0.00060538,           0.0039115,           0.0039115,           0.0039115
                 125,             0.02102,           0.0083974,           0.0017437,             0.89078,             0.95833,             0.95992,             0.67186,             0.02825,           0.0058282,          0.00061821,            0.003862,            0.003862,            0.003862
                 126,            0.019907,           0.0082791,           0.0017226,             0.89913,             0.95101,             0.96684,             0.67126,            0.027995,           0.0057932,          0.00058908,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020222,           0.0081633,           0.0014913,             0.90145,             0.95066,             0.96706,             0.65452,            0.028504,            0.005876,           0.0005754,            0.003763,            0.003763,            0.003763
                 128,            0.019077,           0.0081871,             0.00165,             0.93556,             0.90828,             0.96484,             0.63209,            0.028558,           0.0058675,           0.0005908,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02056,           0.0081271,           0.0017234,             0.96416,             0.89583,             0.94638,             0.66659,             0.02831,           0.0059589,          0.00059121,            0.003664,            0.003664,            0.003664
                 130,            0.019775,           0.0079613,           0.0018261,             0.88496,             0.94338,             0.96364,             0.59939,            0.032291,           0.0062304,           0.0005477,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019381,           0.0076824,            0.002095,             0.89935,             0.97612,             0.97826,             0.53322,            0.034885,           0.0064231,          0.00048743,            0.003565,            0.003565,            0.003565
                 132,            0.018692,           0.0080472,           0.0021225,             0.90322,             0.97567,             0.97992,             0.50844,            0.036939,           0.0063726,          0.00048384,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019408,           0.0087992,            0.001688,             0.90468,             0.97379,             0.97633,             0.56059,            0.032541,           0.0062484,          0.00045535,            0.003466,            0.003466,            0.003466
                 134,            0.019728,           0.0080734,           0.0015258,             0.91579,             0.95833,             0.97375,             0.58575,            0.032682,           0.0061968,          0.00041971,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021483,           0.0084457,           0.0015554,             0.91388,             0.95833,             0.96011,              0.6305,            0.029907,           0.0060694,          0.00041535,            0.003367,            0.003367,            0.003367
                 136,            0.019814,           0.0077967,           0.0016858,             0.88498,             0.95833,             0.96486,             0.58011,            0.033629,           0.0064866,          0.00041198,           0.0033175,           0.0033175,           0.0033175
                 137,            0.020051,            0.008112,           0.0015138,              0.9193,             0.91667,             0.96468,             0.60385,            0.031191,           0.0064631,          0.00041382,            0.003268,            0.003268,            0.003268
                 138,            0.018773,           0.0073096,           0.0012768,             0.90074,              0.9518,              0.9641,             0.58399,            0.031429,           0.0065574,          0.00041025,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019182,            0.008254,           0.0021399,             0.91302,              0.9583,             0.95854,             0.58735,            0.030957,           0.0065089,          0.00040778,            0.003169,            0.003169,            0.003169
                 140,            0.019435,           0.0081626,           0.0014895,             0.87841,             0.95833,             0.96414,              0.6205,            0.030868,           0.0063293,          0.00040496,           0.0031195,           0.0031195,           0.0031195
                 141,            0.018984,           0.0076145,           0.0013191,             0.87854,             0.95833,             0.96197,             0.58943,            0.031016,           0.0063755,          0.00040339,             0.00307,             0.00307,             0.00307
                 142,            0.019292,           0.0085158,           0.0016156,              0.8897,             0.95833,             0.96257,             0.61842,            0.030492,           0.0063226,          0.00039605,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018343,           0.0081008,           0.0014694,             0.90486,             0.95833,             0.96696,             0.56221,            0.032204,            0.006488,          0.00037949,            0.002971,            0.002971,            0.002971
                 144,             0.01812,           0.0077412,           0.0012613,             0.90693,             0.95833,             0.96958,             0.59878,             0.03114,           0.0062387,          0.00037096,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018564,           0.0079358,             0.00183,             0.88997,             0.95833,             0.96792,             0.63667,            0.030059,           0.0059826,          0.00036701,            0.002872,            0.002872,            0.002872
                 146,            0.018442,           0.0077004,           0.0015387,             0.91355,             0.95833,             0.96665,              0.6407,            0.029696,           0.0060082,          0.00037441,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018781,           0.0079847,           0.0014324,             0.91646,              0.9478,             0.96792,             0.61294,            0.029532,           0.0061694,           0.0003686,            0.002773,            0.002773,            0.002773
                 148,            0.019002,           0.0070177,           0.0014501,              0.9059,             0.94792,             0.96683,             0.58541,            0.033047,           0.0065546,          0.00036195,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018691,           0.0079637,           0.0017613,             0.90727,              0.9375,             0.96184,             0.62245,            0.030021,           0.0063395,          0.00036677,            0.002674,            0.002674,            0.002674
